pixel_id module_id pixel_number_in_module cumulative_anode_current average_anode_current
1483 56 0 1.778886e+01 1.100215e-05
1482 56 1 1.830335e+01 1.123712e-05
1351 56 2 1.836604e+01 1.103177e-05
1352 56 3 1.830949e+01 1.101839e-05
1353 56 4 1.908820e+01 1.149539e-05
1227 56 5 1.877061e+01 1.106770e-05
1228 56 6 1.807205e+01 1.078807e-05
1698 57 0 1.050917e+01 6.119276e-06
1697 57 1 2.094508e+01 1.226642e-05
1597 57 2 1.888911e+01 1.088931e-05
1598 57 3 1.991297e+01 1.171356e-05
1599 57 4 1.781626e+01 1.070967e-05
1480 57 5 1.044963e+01 6.113062e-06
1481 57 6 1.767134e+01 1.047137e-05
1521 58 0 5.590495e+00 3.133957e-06
1392 58 1 1.029189e+01 6.100030e-06
1393 58 2 9.533337e+00 5.729559e-06
1522 58 3 1.721628e+01 1.056556e-05
1633 58 4 1.727050e+01 1.077840e-05
1523 58 5 1.013857e+01 5.988164e-06
1634 58 6 1.050224e+01 6.349424e-06
1144 59 0 1.813252e+01 1.117109e-05
1030 59 1 1.925405e+01 1.233350e-05
1031 59 2 1.812015e+01 1.147786e-05
1145 59 3 1.721337e+01 1.054870e-05
1265 59 4 1.748888e+01 1.047477e-05
1146 59 5 1.665368e+01 1.077072e-05
1266 59 6 1.845327e+01 1.127523e-05
818 60 0 1.945326e+01 1.225931e-05
722 60 1 1.949472e+01 1.246633e-05
723 60 2 1.752469e+01 1.180546e-05
819 60 3 1.941879e+01 1.251023e-05
921 60 4 2.038016e+01 1.351118e-05
820 60 5 1.925194e+01 1.222827e-05
922 60 6 1.960279e+01 1.238342e-05
720 61 0 1.059593e+01 6.645433e-06
630 61 1 1.131598e+01 6.955240e-06
469 61 2 1.111776e+01 7.933399e-06
547 61 3 1.924817e+01 1.222195e-05
631 61 4 9.902426e+00 6.095517e-06
548 61 5 1.704274e+01 1.151791e-05
632 61 6 9.790201e+00 6.484909e-06
628 62 0 1.187028e+01 7.502186e-06
544 62 1 1.081415e+01 6.361361e-06
467 62 2 1.862038e+01 1.132332e-05
545 62 3 1.119720e+01 6.650043e-06
629 62 4 2.184338e+01 1.385181e-05
468 62 5 1.204012e+01 7.296742e-06
546 62 6 1.296396e+01 7.939952e-06
542 63 0 1.898244e+01 1.125509e-05
464 63 1 1.057655e+01 6.258448e-06
393 63 2 1.944684e+01 1.135375e-05
465 63 3 1.684371e+01 9.567297e-06
543 63 4 1.749130e+01 1.031633e-05
394 63 5 1.073850e+01 6.025869e-06
466 63 6 2.025729e+01 1.192410e-05
462 64 0 1.062660e+01 6.703301e-06
390 64 1 1.693757e+01 1.109146e-05
325 64 2 9.201997e+00 6.305053e-06
391 64 3 9.910467e+00 6.748024e-06
463 64 4 1.020623e+01 6.298627e-06
326 64 5 1.028329e+01 6.736242e-06
392 64 6 9.537280e+00 6.136988e-06
388 65 0 9.969326e+00 6.352327e-06
322 65 1 1.156592e+01 7.171744e-06
263 65 2 1.060542e+01 6.325417e-06
323 65 3 9.661579e+00 6.613417e-06
389 65 4 1.130273e+01 7.525059e-06
264 65 5 1.084467e+01 6.445125e-06
324 65 6 1.838923e+01 1.201570e-05
385 66 0 1.032779e+01 6.042389e-06
384 66 1 1.127945e+01 6.634082e-06
319 66 2 1.094211e+01 6.305263e-06
320 66 3 1.966608e+01 1.169517e-05
321 66 4 1.034550e+01 6.269557e-06
261 66 5 1.122056e+01 6.453067e-06
262 66 6 9.725948e+00 5.645741e-06
530 67 0 1.844749e+01 1.063316e-05
529 67 1 1.947950e+01 1.087437e-05
452 67 2 1.931982e+01 1.158121e-05
453 67 3 2.038531e+01 1.224615e-05
454 67 4 1.743517e+01 1.037009e-05
382 67 5 1.902843e+01 1.202378e-05
383 67 6 1.712991e+01 1.037070e-05
699 68 0 1.799313e+01 1.011909e-05
698 68 1 1.799022e+01 1.023535e-05
609 68 2 1.744290e+01 1.065033e-05
610 68 3 1.923950e+01 1.129764e-05
611 68 4 1.933099e+01 1.118228e-05
527 68 5 1.801837e+01 1.078318e-05
528 68 6 1.897592e+01 1.068077e-05
892 69 0 1.949261e+01 1.153126e-05
891 69 1 1.960293e+01 1.161185e-05
790 69 2 1.738373e+01 1.005770e-05
791 69 3 1.724304e+01 1.009820e-05
792 69 4 1.893470e+01 1.109775e-05
696 69 5 1.777902e+01 1.073831e-05
697 69 6 1.775009e+01 1.030154e-05
1109 70 0 1.790277e+01 1.165428e-05
1108 70 1 1.891309e+01 1.127296e-05
995 70 2 4.976442e+00 2.791256e-06
996 70 3 1.043491e+01 6.128457e-06
997 70 4 1.808546e+01 1.089898e-05
889 70 5 1.669771e+01 9.532957e-06
890 70 6 1.767718e+01 1.023509e-05
1350 71 0 9.994698e+00 5.948436e-06
1349 71 1 1.813020e+01 1.077385e-05
1224 71 2 1.806312e+01 1.080111e-05
1225 71 3 1.670728e+01 9.866909e-06
1226 71 4 1.121485e+01 6.391529e-06
1106 71 5 1.899703e+01 1.123391e-05
1107 71 6 1.802197e+01 1.056472e-05
1596 72 0 1.785323e+01 1.027098e-05
1595 72 1 1.804735e+01 1.063304e-05
1477 72 2 1.066616e+01 6.163249e-06
1478 72 3 1.826113e+01 1.050559e-05
1479 72 4 1.792617e+01 1.030742e-05
1347 72 5 1.032005e+01 5.734106e-06
1348 72 6 1.796304e+01 1.056906e-05
1635 73 0 1.028102e+01 6.164706e-06
1524 73 1 1.010092e+01 5.900442e-06
1525 73 2 1.868560e+01 1.097725e-05
1636 73 3 5.258541e+00 3.076506e-06
1729 73 4 1.131152e+01 6.546411e-06
1637 73 5 1.034065e+01 6.062787e-06
1730 73 6 1.798343e+01 1.044458e-05
1267 74 0 1.117483e+01 6.974804e-06
1147 74 1 1.848834e+01 1.209760e-05
1148 74 2 1.954888e+01 1.231763e-05
1268 74 3 1.818221e+01 1.119971e-05
1394 74 4 1.785772e+01 1.095934e-05
1269 74 5 1.057031e+01 6.453663e-06
1395 74 6 9.248102e+00 5.540310e-06
923 75 0 1.853535e+01 1.177501e-05
821 75 1 1.979241e+01 1.268406e-05
822 75 2 1.035335e+01 6.571238e-06
924 75 3 4.995918e+00 3.056224e-06
1032 75 4 1.123084e+01 7.504446e-06
925 75 5 1.056287e+01 6.681785e-06
1033 75 6 1.142477e+01 7.231236e-06
633 76 0 1.075497e+01 7.538569e-06
549 76 1 1.008312e+01 7.231688e-06
550 76 2 9.170426e+00 5.696370e-06
634 76 3 1.893822e+01 1.212249e-05
724 76 4 9.969680e+00 6.340089e-06
635 76 5 1.032601e+01 6.229873e-06
725 76 6 1.661242e+01 1.012927e-05
397 77 0 1.094539e+01 6.983690e-06
331 77 1 1.060945e+01 6.491462e-06
332 77 2 1.124280e+01 6.692583e-06
398 77 3 1.910544e+01 1.212449e-05
470 77 4 1.019805e+01 7.350793e-06
399 77 5 9.443764e+00 5.801728e-06
471 77 6 1.984302e+01 1.269860e-05
395 78 0 1.018645e+01 5.912369e-06
329 78 1 1.936176e+01 1.143435e-05
270 78 2 1.048324e+01 6.457306e-06
330 78 3 1.809589e+01 1.072955e-05
396 78 4 1.043713e+01 6.195885e-06
217 78 5 1.861326e+01 1.137887e-05
271 78 6 1.035069e+01 5.981916e-06
327 79 0 1.885397e+01 1.155032e-05
267 79 1 1.060775e+01 6.553265e-06
214 79 2 1.011562e+01 6.256127e-06
268 79 3 1.754835e+01 1.095843e-05
328 79 4 9.928707e+00 5.804811e-06
215 79 5 1.812131e+01 1.153785e-05
269 79 6 1.809868e+01 1.087207e-05
265 80 0 1.043645e+01 6.358943e-06
211 80 1 1.011846e+01 6.012268e-06
164 80 2 1.740411e+01 1.058858e-05
212 80 3 1.789962e+01 1.095677e-05
266 80 4 1.019384e+01 6.197693e-06
165 80 5 1.165794e+01 7.234132e-06
213 80 6 1.023818e+01 6.277205e-06
209 81 0 1.687358e+01 9.995322e-06
208 81 1 1.852832e+01 1.075892e-05
161 81 2 1.854958e+01 1.089045e-05
162 81 3 1.671081e+01 9.625842e-06
210 81 4 1.879602e+01 1.126652e-05
121 81 5 1.120286e+01 6.580376e-06
163 81 6 1.893436e+01 1.119432e-05
318 82 0 1.749373e+01 1.015289e-05
317 82 1 1.854041e+01 1.076859e-05
258 82 2 1.000635e+01 5.827586e-06
259 82 3 1.651810e+01 9.682100e-06
260 82 4 1.934741e+01 1.147532e-05
206 82 5 1.829393e+01 1.053947e-05
207 82 6 1.035635e+01 6.015680e-06
451 83 0 1.823501e+01 1.112928e-05
450 83 1 1.779173e+01 1.129869e-05
379 83 2 1.729658e+01 1.079115e-05
380 83 3 1.833645e+01 1.176859e-05
381 83 4 1.976593e+01 1.285454e-05
315 83 5 9.679899e+00 5.949079e-06
316 83 6 1.834650e+01 1.077838e-05
608 84 0 1.003353e+01 6.313092e-06
607 84 1 1.044120e+01 6.676786e-06
524 84 2 1.118779e+01 7.109589e-06
525 84 3 1.008315e+01 6.050998e-06
526 84 4 1.934681e+01 1.142568e-05
448 84 5 1.041159e+01 6.068637e-06
449 84 6 1.837784e+01 1.085359e-05
789 85 0 1.032625e+01 6.028815e-06
788 85 1 1.718540e+01 1.006511e-05
693 85 2 1.082253e+01 6.290518e-06
694 85 3 1.172461e+01 6.921653e-06
695 85 4 1.024379e+01 6.065168e-06
605 85 5 1.101113e+01 6.527131e-06
606 85 6 1.640445e+01 1.017930e-05
994 86 0 1.734472e+01 9.975755e-06
993 86 1 1.859757e+01 1.091664e-05
886 86 2 2.081899e+01 1.205734e-05
887 86 3 1.914216e+01 1.103975e-05
888 86 4 1.862381e+01 1.078809e-05
786 86 5 1.858231e+01 1.080652e-05
787 86 6 1.804174e+01 1.047697e-05
1223 87 0 1.755952e+01 1.046537e-05
1222 87 1 1.822577e+01 1.039846e-05
1103 87 2 1.956680e+01 1.120512e-05
1104 87 3 1.751161e+01 1.009661e-05
